2017-03-29 02:59:14,881  INFO [main] TestNG_FB_TestCase001:20 - Checking Method EmailPhone Text
 INFO 2017-03-30 10:59:03,819 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:35 - Asserting Forgotten Account Link
 INFO 2017-03-30 10:59:05,743 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:43 - Forgotten Password | Can't Log In | Facebook
 INFO 2017-03-30 11:11:46,991 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:21 - Checking Method EmailPhone Text
 INFO 2017-03-30 11:11:47,127 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:22 - Asserting Forgotten Account Link
 INFO 2017-03-30 11:11:47,129 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:23 - Checking Password Text
 INFO 2017-03-30 11:11:47,260 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:25 - Checking facebook Logo
 INFO 2017-03-30 11:11:47,472 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:27 - Verifying TagLine in FaceBook
 INFO 2017-03-30 11:11:47,473 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:31 - Asserting Email Phone Text area
 INFO 2017-03-30 11:11:47,558 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:33 - Asserting Password Text area
 INFO 2017-03-30 11:11:47,628 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:35 - Asserting Forgotten Account Link
 INFO 2017-03-30 11:11:49,614 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:46 - Browser window naviagted to :Forgotten Password | Can't Log In | Facebook
ERROR 2017-03-30 11:11:49,615 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:50 - Forgotten Account Link is not enabled
 INFO 2017-03-30 11:15:16,800 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:21 - Checking Method EmailPhone Text
 INFO 2017-03-30 11:15:16,972 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:22 - Asserting Forgotten Account Link
 INFO 2017-03-30 11:15:16,973 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:23 - Checking Password Text
 INFO 2017-03-30 11:15:17,103 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:25 - Checking facebook Logo
 INFO 2017-03-30 11:15:17,333 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:27 - Verifying TagLine in FaceBook
 INFO 2017-03-30 11:15:17,334 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:31 - Asserting Email Phone Text area
 INFO 2017-03-30 11:15:17,427 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:33 - Asserting Password Text area
 INFO 2017-03-30 11:15:17,512 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:35 - Asserting Forgotten Account Link
 INFO 2017-03-30 11:15:19,397 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:46 - Browser window naviagted to :Forgotten Password | Can't Log In | Facebook
ERROR 2017-03-30 11:15:19,399 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:50 - Forgotten Account Link is not enabled
 INFO 2017-03-30 11:16:32,828 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:21 - Checking Method EmailPhone Text
 INFO 2017-03-30 11:16:32,966 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:22 - Asserting Forgotten Account Link
 INFO 2017-03-30 11:16:32,968 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:23 - Checking Password Text
 INFO 2017-03-30 11:16:33,101 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:25 - Checking facebook Logo
 INFO 2017-03-30 11:16:33,308 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:27 - Verifying TagLine in FaceBook
 INFO 2017-03-30 11:16:33,309 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:31 - Asserting Email Phone Text area
 INFO 2017-03-30 11:16:33,397 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:33 - Asserting Password Text area
 INFO 2017-03-30 11:16:33,476 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:35 - Asserting Forgotten Account Link
 INFO 2017-03-30 11:16:35,384 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:46 - Browser window naviagted to :Forgotten Password | Can't Log In | Facebook
ERROR 2017-03-30 11:16:35,386 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:50 - Forgotten Account Link is not enabled
 INFO 2017-03-30 11:17:07,910 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:21 - Checking Method EmailPhone Text
 INFO 2017-03-30 11:17:08,067 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:22 - Asserting Forgotten Account Link
 INFO 2017-03-30 11:17:08,068 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:23 - Checking Password Text
 INFO 2017-03-30 11:17:08,268 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:25 - Checking facebook Logo
